NAME1,HEX1,HEX1a,NAME2,HEX2,HEX2a,RATIO,CODE
Royal Blue,#3556D3,#558aff,Chartreuse,#76FB01,#bdff02,4.5,AA
Tawny Port,#762348,#bd3873,Turquoise,#45DAC8,#6effff,5.8,AA
Dark Blue,#5A1FD1,#9032ff,Bright Turquoise,#1FE5D3,#32ffff,5.2,AA
Forest Green,#28851F,#40d532,Orchid White,#FEFEF3,#ffffff,4.6,AA
Big Stone,#1C3145,#2d4e6e,Perfume,#ECC1FC,#ffffff,8.6,AAA
Aztec,#122124,#1d353a,Neon Carrot,#FCA34E,#ffff7d,8.3,AAA
Governor Bay,#2137AB,#3558ff,Downy,#66C4B2,#a3ffff,4.6,AA
Woodsmoke,#04060D,#060a15,Manatee,#647DA2,#a0c8ff,4.8,AA
Dark Blue,#2416C6,#3a23ff,Citron,#B4B624,#ffff3a,4.8,AA
Blue Gem,#3425A5,#533bff,Chartreuse,#6CE418,#adff26,6.5,AA
Tawny Port,#601E3E,#9a3063,Bay Leaf,#8FB690,#e5ffe6,5.3,AA
Steel Gray,#272139,#3e355b,Bouquet,#B987B6,#ffd8ff,5.3,AA
Midnight Blue,#243E6D,#3a63ae,Chartreuse,#60E103,#9aff05,6.2,AA
Martinique,#393550,#5b5580,Emerald,#31C67C,#4effc6,5.3,AA
Persian Blue,#1E39C8,#305bff,Malibu,#7DCDFE,#c8ffff,4.9,AA
Port Gore,#1B1642,#2b236a,Razzle Dazzle Rose,#EF30BC,#ff4dff,4.7,AA
Fuchsia Blue,#7357BE,#b88bff,Citrine White,#F6F3D3,#ffffff,4.9,AA
Thunderbird,#C3341D,#ff532e,Hint Of Green,#EAFFED,#ffffff,5.2,AA
Seance,#6C0870,#ad0db3,Turquoise Blue,#07E9FD,#0bffff,7.4,AAA
Tolopea,#00004C,#00007a,Red Violet,#D934A6,#ff53ff,4.5,AA
Scampi,#666BB7,#a3abff,Canary,#FCFD91,#ffffe8,4.5,AA
Metallic Bronze,#4E3D26,#7d623d,Shamrock,#47C38A,#72ffdd,4.7,AA
Astronaut,#2F417D,#4b68c8,Riptide,#76EBD4,#bdffff,6.7,AA
San Marino,#3B78B4,#5ec0ff,Black White,#FDFEF7,#ffffff,4.6,AA
Walnut,#6D3618,#ae5626,Orinoco,#F0F7D4,#ffffff,8.7,AAA
Guardsman Red,#D00501,#ff0802,Pale Rose,#FFE1F0,#ffffff,4.7,AA
Bilbao,#3A771C,#5dbe2d,Reef,#C4FBA8,#ffffff,4.6,AA
Bossanova,#513364,#8252a0,Mauve,#C99DF4,#fffbff,4.8,AA
Dark Blue,#1503D2,#2205ff,Christi,#7ABA43,#c3ff6b,4.5,AA
Cocoa Brown,#2B1F1F,#453232,Breaker Bay,#539A94,#85f6ed,4.9,AA
Blue Diamond,#320572,#5008b6,Lima,#77C622,#beff36,7.1,AAA
Revolver,#280B1B,#40122b,Lochmara,#118FDC,#1be5ff,5.2,AA
Night Rider,#1F1614,#322320,Flame Pea,#E0592F,#ff8e4b,4.8,AA
Arapawa,#060F67,#0a18a5,Shilo,#E7B4B0,#ffffff,9.1,AAA
Buccaneer,#61322A,#9b5043,Lightning Yellow,#F1B91B,#ffff2b,5.9,AA
Mardi Gras,#38003D,#5a0062,Olive Green,#B5AC4D,#ffff7b,7.3,AAA
Celtic,#103429,#1a5342,Hopbush,#E275AF,#ffbbff,4.8,AA
Haiti,#151139,#221b5b,Pharlap,#9E8482,#fdd3d0,5.2,AA
Violet Eggplant,#BD2BCB,#ff45ff,Zircon,#F6FAFF,#ffffff,4.6,AA
Racing Green,#0D1911,#15281b,Lima,#35AD17,#55ff25,6.1,AA
Paprika,#A3013A,#ff025d,Conifer,#ACD545,#ffff6e,4.7,AA
Aztec,#051A17,#082a25,Amethyst,#9F6DD1,#feaeff,4.8,AA
Persian Blue,#2645CC,#3d6eff,Screamin Green,#7EF15B,#caff92,5.2,AA
Black Rock,#0A0838,#100d5a,Logan,#BCAED3,#ffffff,9.2,AAA
Paprika,#94102B,#ed1a45,Spring Green,#05E374,#08ffba,5.2,AA
Shuttle Gray,#526067,#839aa5,Charlotte,#B7F4FD,#ffffff,5.4,AA
Crimson,#D9163C,#ff2360,Citrine White,#F2F6D4,#ffffff,4.6,AA
Woodrush,#2C2501,#463b02,Caribbean Green,#0FF9A8,#18ffff,11,AAA
Roof Terracotta,#A83725,#ff583b,Aquamarine,#84F9B2,#d3ffff,5,AA
Midnight,#101D37,#1a2e58,Malachite,#0CAC03,#13ff05,5.5,AA
Black Rock,#0A0334,#100553,Hoki,#627D94,#9dc8ed,4.5,AA
Creole,#1F0C03,#321305,Wild Blue Yonder,#6E7FB5,#b0cbff,4.8,AA
Dark Blue,#351ABF,#552aff,Turquoise Blue,#48DEF2,#73ffff,6.3,AA
Jaguar,#09000B,#0e0012,Camouflage Green,#798C73,#c2e0b8,5.7,AA
Cod Gray,#050804,#080d06,Purple Heart,#8767F0,#d8a5ff,5,AA
Marshland,#13120C,#1e1d13,Driftwood,#AF8049,#ffcd75,5.4,AA
Blue Ribbon,#5B52FA,#9283ff,Double Pearl Lusta,#F6F1CA,#ffffff,4.6,AA
Timber Green,#213630,#35564d,Lemon Ginger,#A59E1D,#fffd2e,4.6,AA
Brown Pod,#411808,#68260d,Bright Green,#6AFC08,#aaff0d,11.4,AAA
East Bay,#55497E,#8875ca,Sulu,#C1F477,#ffffbe,6.2,AA
Ultramarine,#0D15A5,#1522ff,Malachite,#2FBB04,#4bff06,4.9,AA
Creole,#1E0C00,#301300,Scooter,#32B9D5,#50ffff,8.2,AAA
Tamarind,#2E0E04,#4a1606,Patina,#589384,#8debd3,5,AA
Arapawa,#221874,#3626ba,Roti,#D2AF58,#ffff8d,6.9,AA
Chelsea Gem,#A4570D,#ff8b15,Tidal,#F0FDA8,#ffffff,4.9,AA
Claret,#8A1734,#dd2553,Screamin Green,#98FF6E,#f3ffb0,7.5,AAA
Deep Sea Green,#105A62,#1a909d,Mint Green,#5DF992,#95ffea,5.8,AA
Revolver,#230F2C,#381846,Pink Flamingo,#DA47FF,#ff72ff,5.4,AA
Honey Flower,#4B2776,#783ebd,Electric Lime,#2EE218,#4aff26,6.5,AA
Black Bean,#0A1B14,#102b20,Manatee,#8C8F9F,#e0e5fe,5.5,AA
Black Forest,#0D160A,#152310,Raw Sienna,#C76F33,#ffb252,5.1,AA
Persian Indigo,#290F78,#4218c0,French Rose,#FF568B,#ff8ade,4.9,AA
Ultramarine,#1F0287,#3203d8,Christi,#57A517,#8bff25,4.8,AA
Castro,#520227,#83033e,Electric Lime,#36F208,#56ff0d,9.9,AAA
Tuatara,#363833,#565a52,Classic Rose,#EEC6DF,#ffffff,7.8,AAA
Jacaranda,#2D0F37,#481858,Sea Green,#9EE2C5,#fdffff,11.4,AAA
Burnt Maroon,#46030C,#700513,Apple,#1BBF53,#2bff85,6.7,AA
Smoky,#574E64,#8b7da0,Inch Worm,#C1EF39,#ffff5b,5.9,AA
Biscay,#343367,#5352a5,Light Wisteria,#C98DD4,#ffe2ff,4.5,AA
Royal Purple,#813EA5,#ce63ff,Vis Vis,#FAF1A1,#ffffff,5.7,AA
Blue Gem,#1D138B,#2e1ede,Mountain Meadow,#20B181,#33ffce,5.1,AA
Loulou,#530349,#850575,Gold Tips,#D7B905,#ffff08,7.3,AAA
La Palma,#3C830E,#60d216,Apricot White,#FEFDEA,#ffffff,4.6,AA
Deep Koamaru,#1D1178,#2e1bc0,Raw Sienna,#D3854D,#ffd57b,5.2,AA
Blue Ribbon,#4E5DF8,#7d95ff,Frost,#EEF9DE,#ffffff,4.5,AA
Valhalla,#1E1951,#302882,Malachite,#13CD3A,#1eff5d,7.5,AAA
Black Rock,#050536,#080856,Limed Oak,#987747,#f3be72,4.7,AA
Black,#000016,#000023,Razzle Dazzle Rose,#D620AF,#ff33ff,4.6,AA
Navy Blue,#1C0080,#2d00cd,Razzle Dazzle Rose,#FB55DB,#ff88ff,5.5,AA
Ultramarine,#2C0295,#4603ee,Neon Carrot,#F5912F,#ffe84b,5.8,AA
Tropical Rain Forest,#147757,#20be8b,Canary,#E3FE5D,#ffff95,4.9,AA
Persian Plum,#70211E,#b33530,Granny Smith Apple,#AFFBB2,#ffffff,9,AAA
Temptress,#370008,#58000d,Contessa,#B26F62,#ffb29d,4.6,AA
Hot Magenta,#D00DBF,#ff15ff,Half And Half,#FCFEE0,#ffffff,4.5,AA
Melanzane,#29071D,#420b2e,Pomegranate,#F53812,#ff5a1d,4.8,AA
Melanzane,#29011B,#42022b,Wisteria,#8A70B6,#ddb3ff,4.6,AA
Purple Heart,#640BC2,#a012ff,Periwinkle,#D3D8EE,#ffffff,6.3,AA
Blue Ribbon,#6362EB,#9e9dff,Sugar Cane,#F4FFF4,#ffffff,4.6,AA
Black Rose,#640E31,#a0164e,Persian Pink,#F081C6,#ffceff,5.3,AA
Purple Heart,#623DC3,#9d62ff,Wild Rice,#EADE89,#ffffdb,5.1,AA
Purple,#5616A6,#8a23ff,Snowy Mint,#D0FED4,#ffffff,9.1,AAA
Sepia Black,#29091A,#420e2a,Shocking,#BA7CB1,#ffc6ff,5.8,AA
Blue Ribbon,#2055EB,#3388ff,Ice Cold,#ADF4EB,#ffffff,4.8,AA
Purple Heart,#660BB4,#a312ff,Inch Worm,#ADD90B,#ffff12,5.6,AA
Bismark,#597380,#8eb8cd,Tidal,#EAFCA5,#ffffff,4.5,AA
Governor Bay,#5A54CD,#9086ff,Aths Special,#ECE5C9,#ffffff,4.6,AA
Temptress,#3F0018,#650026,Bamboo,#E46816,#ffa623,5.1,AA
Cod Gray,#070600,#0b0a00,Red Orange,#FC2428,#ff3a40,5.2,AA
Swamp,#031B21,#052b35,Limeade,#84A817,#d3ff25,6.4,AA
Purple Heart,#3A21B3,#5d35ff,De York,#82D298,#d0fff3,5.7,AA
Dell,#3E6315,#639e22,Portafino,#F5F7AB,#ffffff,6.3,AA
Ultramarine,#0404A6,#0606ff,Chartreuse,#70FC31,#b3ff4e,10,AAA
Clairvoyant,#4A0151,#760282,Mango Tango,#F4813B,#ffce5e,5.7,AA
Tangaroa,#04022A,#060343,Scarlet,#EF0C15,#ff1322,4.5,AA
Arapawa,#130F6D,#1e18ae,Beauty Bush,#EDBFC3,#ffffff,9.8,AAA
Maroon Flush,#CD344F,#ff537e,Aero Blue,#CFFFE4,#ffffff,4.5,AA
Dark Blue,#393CFC,#5b60ff,Primrose,#F3EF9E,#fffffd,5.5,AA
Gulf Blue,#020B51,#031282,Apple,#47BD49,#72ff75,7.4,AAA
Deep Sapphire,#0D2365,#1538a2,Japonica,#E38274,#ffd0ba,5.3,AA
Purple,#8E02AD,#e303ff,Spring Green,#0DEE8C,#15ffe0,4.9,AA
Purple Heart,#7919C8,#c228ff,Sky Blue,#8BE5F9,#deffff,5.3,AA
English Holly,#073114,#0b4e20,Granny Smith Apple,#A5D694,#ffffed,8.7,AAA
Cod Gray,#0E0508,#16080d,Curious Blue,#3492C3,#53eaff,5.8,AA
Merlot,#7D031A,#c8052a,Dull Lavender,#B79BFD,#fff8ff,4.8,AA
Blue Lagoon,#167B8F,#23c5e5,Starship,#F6FE58,#ffff8d,4.5,AA
Night Rider,#1D1212,#2e1d1d,Mojo,#D15A44,#ff906d,4.6,AA
Black,#0C081D,#130d2e,Pink Flamingo,#D33FF2,#ff65ff,5.4,AA
Redwood,#581804,#8d2606,Java,#31BBBE,#4effff,5.8,AA
Pompadour,#6A1058,#aa1a8d,Husk,#B5A162,#ffff9d,4.5,AA
Matterhorn,#533F47,#856572,Lilac,#D5AED6,#ffffff,5,AA
Valentino,#430F4D,#6b187b,Sandal,#BB9273,#ffeab8,5.3,AA
Port Gore,#261D51,#3d2e82,Bali Hai,#869FAD,#d6feff,5.5,AA
Maroon,#89180F,#db2618,Chartreuse,#80FC2B,#cdff45,7.2,AAA
Chalet Green,#5F6D37,#98ae58,Electric Lime,#C5F903,#ffff05,4.5,AA
Voodoo,#624878,#9d73c0,Rio Grande,#BCD310,#ffff1a,4.6,AA
Dark Blue,#3400C9,#5300ff,Twilight,#E8CBD5,#ffffff,7,AAA
Black Pearl,#040E1F,#061632,Sea Green,#429260,#6aea9a,5.1,AA
Honey Flower,#4C1A78,#7a2ac0,Malachite,#2DB710,#48ff1a,4.6,AA
Hairy Heath,#6E2813,#b0401e,Blizzard Blue,#A4E0E9,#ffffff,7.3,AAA
Valentino,#3F1A49,#652a75,Key Lime Pie,#BBC722,#ffff36,7.8,AAA
Kaitoke Green,#0A4622,#107036,Shamrock,#54D3AC,#86ffff,5.9,AA
Tolopea,#0C0445,#13066e,Niagara,#32A08C,#50ffe0,5.8,AA
Cyprus,#034447,#056d72,Spring Green,#4DF992,#7bffea,8,AAA
Midnight,#060927,#0a0e3e,Red Violet,#D0469A,#ff70f6,4.7,AA
Haiti,#1D0930,#2e0e4d,Lochinvar,#3D9C92,#62faea,5.6,AA
Viridian,#347968,#53c2a6,Gossip,#D7FEAB,#ffffff,4.6,AA
Finn,#6B3A64,#ab5da0,Turquoise,#15DCC0,#22ffff,5,AA
Midnight,#031A3C,#052a60,Shocking Pink,#FB18B7,#ff26ff,4.9,AA
Blue Ribbon,#1056F2,#1a8aff,Manz,#E7EE76,#ffffbd,4.6,AA
Firefly,#042429,#063a42,Limeade,#809A03,#cdf605,5.1,AA
Blue Ribbon,#1E58FA,#308dff,Feta,#ECFDED,#ffffff,5.2,AA
Haiti,#211638,#35235a,Dodger Blue,#2188F0,#35daff,4.7,AA
Black,#010200,#020300,Fuchsia Blue,#7566D7,#bba3ff,4.6,AA
Arapawa,#12075E,#1d0b96,Christi,#40A406,#66ff0a,5.4,AA
Black,#01081B,#020d2b,Violet Red,#E3257B,#ff3bc5,4.6,AA
Toledo,#2B051A,#45082a,Puerto Rico,#48BDA1,#73ffff,8,AAA
St Tropaz,#054F8E,#087ee3,Chartreuse Yellow,#E2F70B,#ffff12,7,AA
Marshland,#15120C,#221d13,Pesto,#82824B,#d0d078,4.7,AA
Dark Fern,#133902,#1e5b03,Heliotrope,#D86EEF,#ffb0ff,4.6,AA
Purple Heart,#A935E2,#ff55ff,Moon Glow,#FAFCD8,#ffffff,4.7,AA
Wine Berry,#4D1930,#7b284d,Fountain Blue,#33A1A7,#52ffff,4.5,AA
River Bed,#394F5E,#5b7e96,Caribbean Green,#06E6BD,#0affff,5.3,AA
Jewel,#0D643C,#15a060,Aquamarine,#5CEFC8,#93ffff,5,AA
Bastille,#2B1A25,#452a3b,Heliotrope,#CC5EE0,#ff96ff,4.9,AA
Cerulean Blue,#475BC4,#7292ff,Blizzard Blue,#ABF0FA,#ffffff,4.7,AA
Navy Blue,#090D88,#0e15da,New York Pink,#DE857D,#ffd5c8,5.4,AA
Purple,#5B0E9B,#9216f8,Tan,#F6A76F,#ffffb2,5.4,AA
Dark Blue,#2F29D8,#4b42ff,Snuff,#D7D1EB,#ffffff,5.8,AA
Jazzberry Jam,#BE3665,#ff56a2,Gossip,#D6F6A8,#ffffff,4.5,AA
Asphalt,#110604,#1b0a06,Blue,#356FF6,#55b2ff,4.5,AA
Fresh Eggplant,#9C2679,#fa3dc2,Spring Green,#35FC9F,#55fffe,5.2,AA
Dark Blue,#3608BA,#560dff,Bright Turquoise,#36E8DF,#56ffff,7.2,AAA
Te Papa Green,#244741,#3a7268,Madang,#AFF3C6,#ffffff,8,AAA
Toledo,#390E1F,#5b1632,Bitter Lemon,#D2E008,#ffff0d,11.5,AAA
Aubergine,#3D0816,#620d23,Dull Lavender,#9D8FE3,#fbe5ff,6,AA
Cerulean Blue,#2A53C3,#4385ff,Festival,#F6E164,#ffffa0,5.1,AA
Castro,#5B0925,#920e3b,Jungle Green,#25A87C,#3bffc6,4.6,AA
Gondola,#2C131F,#461e32,Lavender Rose,#E380CD,#ffcdff,6.8,AA
Bunker,#000910,#000e1a,Copper,#AB6F2C,#ffb246,4.8,AA
Congress Blue,#1B478D,#2b72e2,Malachite,#23E665,#38ffa2,5.4,AA
Deep Blue,#160078,#2300c0,Wisteria,#BB79BA,#ffc2ff,5,AA
Camouflage,#2E300D,#4a4d15,Turmeric,#CDBA4E,#ffff7d,6.9,AA
Deep Blue,#1A0476,#2a06bd,Christi,#5EA017,#96ff25,4.9,AA
Electric Violet,#5924FC,#8e3aff,Electric Lime,#40F533,#66ff52,4.6,AA
Violet Eggplant,#A007B1,#ff0bff,Mint Green,#71F289,#b5ffdb,4.7,AA
Gulf Blue,#16114D,#231b7b,Eastern Blue,#0F9AA7,#18f6ff,5.1,AA
Kilamanjaro,#220308,#36050d,Kimberly,#7E7BB8,#cac5ff,5,AA
Pine Tree,#1F250C,#323b13,Apple,#4BA545,#78ff6e,5.1,AA
Revolver,#3A1D42,#5d2e6a,Chartreuse,#97FD09,#f2ff0e,11.4,AAA
Mulberry Wood,#5B073A,#920b5d,Pastel Green,#39D46E,#5bffb0,7,AAA
Cerulean Blue,#4D59CB,#7b8eff,Jonquil,#D9F899,#fffff5,4.9,AA
Minsk,#452A72,#6e43b6,Inch Worm,#B7E950,#ffff80,8.1,AAA
Finn,#782F62,#c04b9d,Mint Green,#59F69F,#8efffe,6.3,AA
Purple Heart,#9435D4,#ed55ff,Honeysuckle,#D9F370,#ffffb3,4.6,AA
Smalt,#0F2C88,#1846da,Sea Mist,#C0E0CE,#ffffff,8.5,AAA
Flirt,#AF0476,#ff06bd,Mischka,#D6D6E0,#ffffff,4.7,AA
Judge Gray,#5A4E3F,#907d65,Spring Rain,#AFD1B7,#ffffff,4.9,AA
Log Cabin,#19291F,#284232,Nepal,#8EADC6,#e3ffff,6.5,AA
Electric Violet,#5B07F5,#920bff,Australian Mint,#EAEEAD,#ffffff,6.2,AA
Blue,#261AFB,#3d2aff,Sinbad,#A9D6C9,#ffffff,5,AA
Purple Heart,#6632B4,#a350ff,Bright Green,#5CF019,#93ff28,5.2,AA
Charade,#262735,#3d3e55,Raw Sienna,#D4884C,#ffda7a,5.2,AA
Cocoa Bean,#56231E,#8a3830,Supernova,#FCC80C,#ffff13,8.1,AAA
Everglade,#124034,#1d6653,Malachite,#27BF3A,#3eff5d,4.8,AA
Cod Gray,#070709,#0b0b0e,Electric Violet,#B52CFB,#ff46ff,4.5,AA
Torea Bay,#0B2795,#123eee,Cerulean,#4DBDE8,#7bffff,5.6,AA
Cosmic,#734A74,#b876ba,Inch Worm,#95E54A,#eeff76,4.6,AA
Tolopea,#0D0B4F,#15127e,Highland,#698C5B,#a8e092,4.7,AA
Teal Blue,#1C4257,#2d6a8b,Tumbleweed,#E2A98F,#ffffe5,5.2,AA
Purple Heart,#4925BF,#753bff,Electric Lime,#3CF40B,#60ff12,6.1,AA
Dark Blue,#2F1FD7,#4b32ff,Electric Lime,#0EEA02,#16ff03,5.6,AA
Salem,#087648,#0dbd73,Electric Lime,#D5FF0E,#ffff16,4.9,AA
Catalina Blue,#0D2C7C,#1546c6,Emerald,#2DB965,#48ffa2,4.9,AA
Persian Indigo,#301172,#4d1bb6,Tea Green,#D7EEBB,#ffffff,11.6,AAA
Tolopea,#090046,#0e0070,Porsche,#D5A564,#ffffa0,8.5,AAA
Persian Plum,#741A21,#ba2a35,Picton Blue,#2CC4F7,#46ffff,5.4,AA
Plantation,#384F4C,#5a7e7a,Electric Lime,#3ADE0A,#5dff10,4.9,AA
Dark Blue,#0600D5,#0a00ff,Malachite,#1CDA30,#2dff4d,5.6,AA
Catalina Blue,#012373,#0238b8,Dull Lavender,#9B88D1,#f8daff,4.6,AA
Cod Gray,#0A0707,#100b0b,Eucalyptus,#328758,#50d88d,4.5,AA
Blue Gem,#2A1391,#431ee8,Sweet Pink,#FDA09F,#fffffe,6.7,AA
Melanzane,#250422,#3b0636,Piper,#C8682B,#ffa645,4.9,AA
Yukon Gold,#866F14,#d6b220,Black Squeeze,#F2FCF9,#ffffff,4.7,AA
Ultramarine,#080F9A,#0d18f6,Mongoose,#B9A67B,#ffffc5,5.7,AA
Purple Heart,#8F46D1,#e570ff,Sugar Cane,#F5FDF7,#ffffff,5.1,AA
Green Pea,#1C6542,#2da26a,Bright Turquoise,#4BEBCF,#78ffff,4.7,AA
Korma,#894904,#db7506,Snuff,#DED0E7,#ffffff,4.7,AA
Black Russian,#130823,#1e0d38,Flax Smoke,#747F5E,#bacb96,4.5,AA
Dark Blue,#291EE7,#4230ff,Rose Fog,#F0C7BC,#ffffff,5.6,AA
Saddle Brown,#593401,#8e5302,Malachite,#1FC859,#32ff8e,4.9,AA
Black Russian,#1E1124,#301b3a,Fuchsia Pink,#DF51B8,#ff82ff,5.2,AA
Black Bean,#04170E,#062516,Deep Blush,#E36F99,#ffb2f5,6.2,AA
East Bay,#3C5680,#608acd,Pastel Green,#57E676,#8bffbd,4.6,AA
Temptress,#36020F,#560318,Purple Heart,#8E67FB,#e3a5ff,4.7,AA
Plum,#730C62,#b8139d,Chenin,#DFD177,#ffffbe,6.9,AA
Daintree,#042530,#063b4d,Driftwood,#B38642,#ffd66a,4.9,AA
Black Rose,#640532,#a00850,Lightning Yellow,#F2BC22,#ffff36,7.5,AAA
Clover,#334B0E,#527816,Bright Turquoise,#04E1C3,#06ffff,5.8,AA
Lucky Point,#041965,#0628a2,Niagara,#04A086,#06ffd6,4.8,AA
Melanzane,#3C132C,#601e46,Salmon,#F2939E,#ffebfd,7.1,AAA
East Bay,#355184,#5582d3,Electric Lime,#29E922,#42ff36,4.8,AA
Green Kelp,#262E1B,#3d4a2b,Malachite,#03DB66,#05ffa3,7.6,AAA
Venice Blue,#175384,#2585d3,Las Palmas,#D1F63F,#ffff65,6.5,AA
Cherry Pie,#370964,#580ea0,Riptide,#8EE3D0,#e3ffff,10.1,AAA
Purple Heart,#5752E1,#8b83ff,Sulu,#C1FC8F,#ffffe5,4.8,AA
Purple Heart,#8003CA,#cd05ff,Prim,#E4DBE7,#ffffff,5.6,AA
Jacksons Purple,#351F8F,#5532e5,Gulf Stream,#83BAAF,#d2ffff,5.5,AA
Ultramarine,#01078A,#020bdd,Amethyst Smoke,#9D99B4,#fbf5ff,5.5,AA
Au Chico,#9A5B54,#f69286,Chartreuse Yellow,#E0FC0B,#ffff12,4.5,AA
Mulberry Wood,#5C0238,#93035a,Shamrock,#47D39B,#72fff8,7.3,AAA
Matrix,#A85846,#ff8d70,Magnolia,#F7F2FA,#ffffff,4.6,AA
Parsley,#25501E,#3b8030,Mint Green,#5BF89D,#92fffb,6.8,AA
Gondola,#240617,#3a0a25,Red Damask,#D25E42,#ff966a,4.9,AA
Blackcurrant,#3E293E,#634263,Forest Green,#71A983,#b5ffd2,4.8,AA
Christalle,#2D0063,#48009e,Malachite,#15B400,#22ff00,5.9,AA
Goblin,#307F56,#4dcb8a,Golden Fizz,#FAFF47,#ffff72,4.5,AA
Ultramarine,#041EA2,#0630ff,Sun,#F1A005,#ffff08,5.7,AA
Persian Blue,#2536C2,#3b56ff,Cupid,#E0AEC8,#ffffff,4.6,AA
Kaitoke Green,#063E19,#0a6328,Nomad,#B3AC99,#fffff5,5.4,AA
Meteorite,#351A73,#552ab8,Malachite,#11C137,#1bff58,5.6,AA
Haiti,#1E0024,#30003a,Wild Blue Yonder,#7481C0,#baceff,5.2,AA
Daisy Bush,#5023A8,#8038ff,Carissma,#F294B4,#ffedff,4.5,AA
Bilbao,#2E760E,#4abd16,Mint Tulip,#C1FBF7,#ffffff,5,AA
Camelot,#902D52,#e64883,Key Lime Pie,#C7CC2A,#ffff43,4.5,AA
Saddle,#513221,#825035,Blue Haze,#CCC5DC,#ffffff,6.9,AA
Persian Indigo,#2D1373,#481eb8,Olive Green,#B4B65E,#ffff96,6.7,AA
Van Cleef,#541E18,#863026,Eagle,#BDC1A9,#ffffff,7.2,AAA
Deep Fir,#0D2E00,#154a00,Electric Lime,#05F333,#08ff52,9.9,AAA
Valentino,#380E3B,#5a165e,Curious Blue,#08A8F8,#0dffff,6.2,AA
Van Cleef,#491710,#75251a,Wild Blue Yonder,#97A4C9,#f2ffff,6,AA
Purple Heart,#3C18AE,#6026ff,Golden Glow,#F7DB91,#ffffe8,8,AAA
Toledo,#3C0126,#60023d,Cranberry,#E55285,#ff83d5,4.8,AA
Pacifika,#627708,#9dbe0d,Island Spice,#FBFAED,#ffffff,4.8,AA
Purple Heart,#5218AA,#8326ff,Bahia,#A5CC03,#ffff05,5.4,AA
Ultramarine,#1515B2,#2222ff,Beauty Bush,#E6BAB9,#ffffff,6.8,AA
Persian Blue,#3C4BE0,#6078ff,Chrome White,#E6F0D1,#ffffff,5.4,AA
Jacarta,#2C2C6A,#4646aa,Cerulean,#33B2E2,#52ffff,5.1,AA
Port Gore,#262754,#3d3e86,Sushi,#8DA33F,#e2ff65,5,AA
Blue,#3924FB,#5b3aff,Green Yellow,#98F60E,#f3ff16,5.5,AA
Plantation,#1E4C48,#307a73,Silver Tree,#84C39A,#d3fff6,4.7,AA
Jambalaya,#62381C,#9d5a2d,Downy,#69C6C5,#a8ffff,5,AA
Cobalt,#3A44A9,#5d6dff,Snow Flurry,#D7FFCB,#ffffff,7.4,AAA
Ship Gray,#363840,#565a66,Robin Egg Blue,#42CAC0,#6affff,5.8,AA
Plum,#732C6B,#b846ab,Spray,#87EEF8,#d8ffff,6.8,AA
Sepia Black,#280512,#40081d,Atlantis,#9BDD34,#f8ff53,11.4,AAA
Tamarind,#32150D,#502215,Apple,#60A83F,#9aff65,5.7,AA
Jewel,#16653F,#23a265,Morning Glory,#9BDDDB,#f8ffff,4.6,AA
Dark Blue,#3A30E9,#5d4dff,Electric Lime,#2FEB2E,#4bff4a,4.7,AA
Black Russian,#0F0824,#180d3a,Keppel,#46A88F,#70ffe5,6.7,AA
Cumin,#9E4628,#fd7040,Charlotte,#B2F2FD,#ffffff,5.1,AA
Toledo,#3A0426,#5d063d,Nugget,#D4A035,#ffff55,7.2,AAA
Arapawa,#06015F,#0a0298,Marigold Yellow,#ECDE68,#ffffa6,12.9,AAA
Persian Indigo,#351883,#5526d2,Peach,#F7C2A3,#ffffff,8.2,AAA
Blue Ribbon,#3750F9,#5880ff,Candy Corn,#FFE756,#ffff8a,4.6,AA
Purple Heart,#3D24CA,#623aff,Green Yellow,#92E637,#eaff58,5.9,AA
Hawaiian Tan,#985608,#f38a0d,Festival,#F8ED6F,#ffffb2,4.7,AA
Vivid Violet,#995098,#f580f3,Texas,#F8F99D,#fffffb,4.8,AA
Dark Blue,#4101E1,#6802ff,Lightning Yellow,#FABB2A,#ffff43,5.3,AA
Ming,#2B6D7D,#45aec8,Green Yellow,#9CFB17,#faff25,4.5,AA
Gordons Green,#10140B,#1a2012,Blue Smoke,#6C847D,#add3c8,4.6,AA
Kilamanjaro,#200006,#33000a,Razzle Dazzle Rose,#DE0CB8,#ff13ff,4.6,AA
Purple Heart,#9B3CD1,#f860ff,Honeysuckle,#E7F67E,#ffffca,4.5,AA
Purple,#610EA5,#9b16ff,Green Yellow,#A4FF36,#ffff56,8,AAA
Pompadour,#720B5D,#b61295,Moss Green,#97CC93,#f2ffeb,5.9,AA
Martinique,#3C3460,#60539a,Dandelion,#F2CE50,#ffff80,7.4,AAA
Red Violet,#BE1C9B,#ff2df8,Chartreuse Yellow,#E7FB27,#ffff3e,4.8,AA
Catalina Blue,#1E2C7A,#3046c3,French Lilac,#EFC2F6,#ffffff,8.1,AAA
Gondola,#1F060D,#320a15,Torch Red,#F21527,#ff223e,4.5,AA
Blue Gem,#211998,#3528f3,Celery,#A8BF4E,#ffff7d,6.2,AA
Palm Green,#011D04,#022e06,Indigo,#4F82DB,#7ed0ff,4.7,AA
Toledo,#31001D,#4e002e,Water Leaf,#A4F4F5,#ffffff,14.7,AAA
Blumine,#095B73,#0e92b8,Mint Green,#4EF396,#7dfff0,5.3,AA
